01
きゃ～   呀
ボム   砰
ま...   又失败了
こんな   这样下去可不行
＃49：黒   #49：黑魔术之约会

02
もなこ   茂奈子!要出门吗?
公園   要去公园
灰田   灰田!肉!!
失礼   真烦啊,我带着呢~~~
アレ   阿咧?
台   忘在厨房了
お供   我也要去
今   嗯?今天的...安理酱?
アンリ   安理酱~~~
は   哈
も...   茂...茂奈子酱?
そんな   背着那么大的行李出门?
う...   嗯...嗯...正好要去登山
ホント   真的?我也要去~~~

03
つぃて   跟着来...倒是也无所谓...
甘く   不要太小看了喔...
この   这次旅行...
なん   神马?
よ～   好的~到了哦
一体   究竟发生了什么
ちょっと   喂,你...不好意思忘了名字了,你为啥要跟来?
非常食   非常时期的肉我带着呢

04
そうい   话说回来,这个孩子是?
あっ   啊,是住在附近的爱酱
ゾンビ   很喜欢僵尸的哦
紫   我是紫野爱须
もなこ   是茂奈子的备用食品
人   害怕见人吗？
非常   备用食品
ゾンビ   对于僵尸以外的人类很害羞。。。
あっ   啊，我是水森安理，兴趣是超自然现象
オ   超。。。
オ...   超自然！？
という   也就是说。。。你知道制作僵尸而闻名的巫毒教！？
え   诶！？
まあ   嘛，算是稍微知道一点吧
ゾンビ   不过关于僵尸药剂之类的情报还是很少。。。
一度   不一起去一次海地吗！？
まったく   完全黏在一块了啊
あっ...  啊。。。也就是说莫非
山   到这个山里来。。。是为了魔法的材料？
え   嗯。。。
ふふ   哼哼。。。是啊

05
ど...どうした   怎。。。怎么了，安理酱？
水森   水森？
いや   啊。。。我啊。。。
今   现在。。。陷入了相当厉害的暴跌之中
スラン   暴跌！？
どんな　　不管是调和什么药，都持续的失败
もう　　我是不是也该放弃巫毒的研究了呢，也这样想过
そ。。。　　纵使你这么纠结也。。。。
それで　　　虽然这么想过，但是材料都在身边，花和虫什么的也都很充沛，怎么能轻易放弃呢
ちゃんと　　一定要好好找到充满野性的植物才行啊！
06
そのために　　所以就要到这种山上寻找极品素材啊！
急に　　　跑这么快小心迷路啊
素晴らしい　　太棒了
アンリ　　　安理酱！我也来帮忙找材料！要找什么才好？
ホント　　真的？谢谢。。。那就。。。。
シャクナゲ  石楠花、打碗花、南天竹的果实以及螳螂
ほほう　　喔喔...
なるべく　　　最好去收集新鲜出炉的以上这些东西
わかった　　我明白了！
でもそれ　　但是...这些事用来做什么魔法的？
え？　　诶?是用来做....什么来着....
と...　　　总...总之我想要使用魔法
とりあえす　　照我说的去做赶紧去收集魔法道具就好了！！
水森　　　水森....难道是憧憬着这些毫无意义的魔法师么....？
私は　　　我去那边找
待って　　等一下，茂柰子，我也...
じゃ　　那么我就去那边
迷子　　千万别迷路了啊！？

07
おお　　　喔喔~~~~
けっこう　　已经收集到相当多了呢！
うん　　嗯...但是还有最后的一个，石楠花还没有找到
あ　　有...有了！
なぜか　　不知为何悬崖附近有相当的多
キケン　　危险
い　　　这样的话....
取り　　想拿到石楠花很危险啊....

08
って　　喂，水森
アンリ　　安理酱
ダメだ　　不行的，去那种地方的话
い...いや　　没...没关系的
何を　　有什么根据！？
根拠　　倒是没有....
あのね　　我想说的是青山君啊，神秘是....
信じ　　相信才是最重要的啊
ええ　　诶
どうせ　　如果总是想着办不到的话，就会真的办不到
つまり　　也就是说信念才是力量的源泉啊
だから　　所以只要相信没有事的话
大丈　　就会木有事
厶　　　太乱来了啊
よし　　好的，拿到了！
今　　现在就爬上去

09
心配　　不用担心....
はわ　　哇
ア...　　安...安理酱！
アンリ　　安理酱！！
水森　　水森！！
もなこ　　茂奈子酱
あっ　　啊...
あ　　啊
の　　完蛋了！！
全員　　大家都跟着一块掉下去了！！
うう...　　呜呜

10
あ...あんまり　　没...没有想象的那么高真是太好了
み...みんな　　大...大伙都没事吗？真是对不起...
わ...私　　　都是我信仰的力量不都强大的错....
痛　　痛...
イデ　　痛...
あ　　啊...青山君
どっ...　　怎...怎怎怎么办啊...
青山　　青山君没事吗？
いや　　我没什么大事...痛！
青山　　因为我的错，青山君受伤了...
私の　　我的....错！
水森　　水森？作什么....
これって　　这不是，刚才收集到的花...
さっき　　把刚采到的新鲜的花捣碎...
これを　　这样吃下去的话就会痊愈了！！

11
そうよ...　　是的...我之所以办不到，都是因为我的信仰力不足啊！！
どんな　　不管是什么魔法，没有明确的目的的话都不会生效
飲んで　　把这个喝了！就应该可以痊愈了！
え　　额...
絶対　　绝对...
絶対治る　　绝对会痊愈的！！
強い　　有这样强烈的感情的话就会生效的！！
わ...わかった　　知...道了，好吧，那我就
苦さ　　超苦啊，这个

12
...って　　诶...
あ...あれ　　啊咧？
何だ　　总感觉...没有那么痛了？
ホ...　　真...真的吗！？
よ...　　太...太好了！！
わ　　哇
水森　　水森...
植物　　虽然关于植物的知识很欠缺，但是总有一天会成为了不起的魔法师的吧
自分　　不仅仅是自己，还要把其他人治愈，这份信念...
だって　　但是...貌似石楠花是有毒的...
よ　　太好了！！
毒　　因为有毒，所以诸位看官绝对不要去尝试！！绝对！！
おなか　　会吃坏肚子的哦！！

